课次,大组主题,小组,序号,单词,词性,释义,认识(打✓),不认识(打✗),备注
第9课,社会与科技,新闻与媒体,12,press,n.,新闻界,,,
第9课,社会与科技,新闻与媒体,13,publish,v.,出版,,,
第9课,社会与科技,新闻与媒体,14,editor,n.,编辑,,,
第9课,社会与科技,新闻与媒体,15,cartoon,n.,卡通,,,
第9课,社会与科技,新闻与媒体,16,comedy,n.,喜剧,,,
第9课,社会与科技,新闻与媒体,17,drama,n.,戏剧,,,
第9课,社会与科技,新闻与媒体,18,movie,n.,电影,,,
第9课,社会与科技,新闻与媒体,19,film,n.,电影,,,
第9课,社会与科技,新闻与媒体,20,show,n.,节目,,,
第9课,社会与科技,经济与购物,1,money,n.,钱,,,
第9课,社会与科技,经济与购物,2,price,n.,价格,,,
第9课,社会与科技,经济与购物,3,cost,n.,成本,,,
第9课,社会与科技,经济与购物,4,pay,v.,付款,,,
第9课,社会与科技,经济与购物,5,spend,v.,花费,,,
第9课,社会与科技,经济与购物,6,buy,v.,买,,,
第9课,社会与科技,经济与购物,7,sell,v.,卖,,,
第9课,社会与科技,经济与购物,8,sale,n.,销售,,,
第9课,社会与科技,经济与购物,9,business,n.,生意,,,
第9课,社会与科技,经济与购物,10,trade,n.,贸易,,,
第9课,社会与科技,经济与购物,11,coin,n.,硬币,,,
第9课,社会与科技,经济与购物,12,cheap,adj.,便宜的,,,
第9课,社会与科技,经济与购物,13,expensive,adj.,昂贵的,,,
第9课,社会与科技,经济与购物,14,rich,adj.,富有的,,,
第9课,社会与科技,经济与购物,15,poor,adj.,贫穷的,,,
第9课,社会与科技,经济与购物,16,value,n.,价值,,,
第9课,社会与科技,经济与购物,17,worth,adj.,值得的,,,
第9课,社会与科技,经济与购物,18,afford,v.,负担得起,,,
第9课,社会与科技,经济与购物,19,borrow,v.,借入,,,
第9课,社会与科技,经济与购物,20,lend,v.,借出,,,
第9课,社会与科技,法律与规则,1,law,n.,法律,,,
第9课,社会与科技,法律与规则,2,discipline,n.,纪律,,,
第9课,社会与科技,法律与规则,3,obey,v.,遵守,,,
第9课,社会与科技,法律与规则,4,allow,v.,允许,,,
第9课,社会与科技,法律与规则,5,permit,v.,准许,,,
第9课,社会与科技,法律与规则,6,forbid,v.,禁止,,,
第9课,社会与科技,法律与规则,7,punish,v.,惩罚,,,
第9课,社会与科技,法律与规则,8,crime,n.,犯罪,,,
第9课,社会与科技,法律与规则,9,thief,n.,小偷,,,
第9课,社会与科技,法律与规则,10,steal,v.,偷,,,
第9课,社会与科技,法律与规则,11,court,n.,法庭,,,
第9课,社会与科技,法律与规则,12,duty,n.,职责,,,
第9课,社会与科技,法律与规则,13,responsibility,n.,责任,,,
第9课,社会与科技,法律与规则,14,power,n.,权力,,,
第9课,社会与科技,法律与规则,15,freedom,n.,自由,,,
第9课,社会与科技,法律与规则,16,fair,adj.,公平的,,,
第9课,社会与科技,法律与规则,17,equal,adj.,平等的,,,
第9课,社会与科技,法律与规则,18,citizen,n.,公民,,,
第9课,社会与科技,法律与规则,19,society,n.,社会,,,
第9课,社会与科技,法律与规则,20,public,adj.,公共的,,,
第10课,抽象概念与综合,抽象名词,1,dream,n.,梦想,,,
第10课,抽象概念与综合,抽象名词,2,aim,n.,目的,,,
第10课,抽象概念与综合,抽象名词,3,fact,n.,事实,,,
第10课,抽象概念与综合,抽象名词,4,truth,n.,真相,,,
第10课,抽象概念与综合,抽象名词,5,lie,n.,谎言,,,
第10课,抽象概念与综合,抽象名词,6,example,n.,例子,,,
第10课,抽象概念与综合,抽象名词,7,method,n.,方法,,,
第10课,抽象概念与综合,抽象名词,8,way,n.,方式,,,
第10课,抽象概念与综合,抽象名词,9,chance,n.,机会,,,
第10课,抽象概念与综合,抽象名词,10,opportunity,n.,机遇,,,
第10课,抽象概念与综合,抽象名词,11,experience,n.,经验,,,
第10课,抽象概念与综合,抽象名词,12,memory,n.,记忆,,,
第10课,抽象概念与综合,抽象名词,13,mind,n.,头脑,,,
第10课,抽象概念与综合,抽象名词,14,life,n.,生活,,,
第10课,抽象概念与综合,抽象名词,15,death,n.,死亡,,,
第10课,抽象概念与综合,抽象名词,16,future,n.,未来,,,
第10课,抽象概念与综合,抽象名词,17,tradition,n.,传统,,,
第10课,抽象概念与综合,抽象名词,18,present,n.,现在,,,
第10课,抽象概念与综合,抽象名词,19,peace,n.,和平,,,
第10课,抽象概念与综合,抽象名词,20,war,n.,战争,,,
第10课,抽象概念与综合,抽象形容词,1,important,adj.,重要的,,,
第10课,抽象概念与综合,抽象形容词,2,necessary,adj.,必要的,,,
第10课,抽象概念与综合,抽象形容词,3,possible,adj.,可能的,,,
第10课,抽象概念与综合,抽象形容词,4,impossible,adj.,不可能的,,,
第10课,抽象概念与综合,抽象形容词,5,useful,adj.,有用的,,,
第10课,抽象概念与综合,抽象形容词,6,popular,adj.,受欢迎的,,,
第10课,抽象概念与综合,抽象形容词,7,famous,adj.,著名的,,,
第10课,抽象概念与综合,抽象形容词,8,modern,adj.,现代的,,,
第10课,抽象概念与综合,抽象形容词,9,ancient,adj.,古代的,,,
第10课,抽象概念与综合,抽象形容词,10,common,adj.,常见的,,,
第10课,抽象概念与综合,抽象形容词,11,unusual,adj.,不寻常的,,,
第10课,抽象概念与综合,抽象形容词,12,strange,adj.,奇怪的,,,
第10课,抽象概念与综合,抽象形容词,13,general,adj.,普遍的,,,
第10课,抽象概念与综合,抽象形容词,14,particular,adj.,特定的,,,
第10课,抽象概念与综合,抽象形容词,15,personal,adj.,个人的,,,
第10课,抽象概念与综合,抽象形容词,16,national,adj.,国家的,,,
第10课,抽象概念与综合,抽象形容词,17,international,adj.,国际的,,,
第10课,抽象概念与综合,抽象形容词,18,local,adj.,当地的,,,
第10课,抽象概念与综合,抽象形容词,19,similar,adj.,相似的,,,
第10课,抽象概念与综合,抽象形容词,20,different,adj.,不同的,,,
第10课,抽象概念与综合,数量与程度,1,many,adj.,许多,,,
第10课,抽象概念与综合,数量与程度,2,much,adj.,许多,,,
第10课,抽象概念与综合,数量与程度,3,more,adj.,更多,,,
第10课,抽象概念与综合,数量与程度,4,most,adj.,最多,,,
第10课,抽象概念与综合,数量与程度,5,few,adj.,少数,,,
第10课,抽象概念与综合,数量与程度,6,little,adj.,少量,,,
第10课,抽象概念与综合,数量与程度,7,less,adj.,更少,,,
第10课,抽象概念与综合,数量与程度,8,least,adj.,最少,,,
第10课,抽象概念与综合,数量与程度,9,enough,adj.,足够的,,,
第10课,抽象概念与综合,数量与程度,10,number,n.,数量,,,
第10课,抽象概念与综合,数量与程度,11,amount,n.,总量,,,
第10课,抽象概念与综合,数量与程度,12,total,adj.,总的,,,
第10课,抽象概念与综合,数量与程度,13,whole,adj.,整个的,,,
第10课,抽象概念与综合,数量与程度,14,half,n.,一半,,,
第10课,抽象概念与综合,数量与程度,15,quarter,n.,四分之一,,,
第10课,抽象概念与综合,数量与程度,16,double,adj.,双倍的,,,
第10课,抽象概念与综合,数量与程度,17,single,adj.,单个的,,,
第10课,抽象概念与综合,数量与程度,18,couple,n.,一对,,,
第10课,抽象概念与综合,数量与程度,19,dozen,n.,一打,,,
第10课,抽象概念与综合,数量与程度,20,percentage,n.,百分比,,,
第10课,抽象概念与综合,高频动词与情态,1,do,v.,做,,,
第10课,抽象概念与综合,高频动词与情态,2,have,v.,有,,,
第10课,抽象概念与综合,高频动词与情态,3,go,v.,去,,,
第10课,抽象概念与综合,高频动词与情态,4,come,v.,来,,,
第10课,抽象概念与综合,高频动词与情态,5,let,v.,让,,,
第10课,抽象概念与综合,高频动词与情态,6,find,v.,找到,,,
第10课,抽象概念与综合,高频动词与情态,7,hold,v.,握住,,,
第10课,抽象概念与综合,高频动词与情态,8,move,v.,移动,,,
第10课,抽象概念与综合,高频动词与情态,9,leave,v.,离开,,,
第10课,抽象概念与综合,高频动词与情态,10,arrive,v.,到达,,,
第10课,抽象概念与综合,高频动词与情态,11,reach,v.,抵达,,,
第10课,抽象概念与综合,高频动词与情态,12,return,v.,返回,,,
第10课,抽象概念与综合,高频动词与情态,13,live,v.,居住,,,
第10课,抽象概念与综合,高频动词与情态,14,must,aux.,必须,,,
第10课,抽象概念与综合,高频动词与情态,15,may,aux.,可以,,,
第10课,抽象概念与综合,高频动词与情态,16,might,aux.,可能,,,
第10课,抽象概念与综合,高频动词与情态,17,could,aux.,可以,,,
第10课,抽象概念与综合,高频动词与情态,18,would,aux.,将会,,,
第10课,抽象概念与综合,高频动词与情态,19,shall,aux.,将要,,,
第10课,抽象概念与综合,高频动词与情态,20,ought,aux.,应该,,,
第10课,抽象概念与综合,连接与逻辑副词,1,actually,adv.,实际上,,,
第10课,抽象概念与综合,连接与逻辑副词,2,exactly,adv.,确切地,,,
第10课,抽象概念与综合,连接与逻辑副词,3,certainly,adv.,当然,,,
第10课,抽象概念与综合,连接与逻辑副词,4,surely,adv.,确实,,,
第10课,抽象概念与综合,连接与逻辑副词,5,perhaps,adv.,也许,,,
第10课,抽象概念与综合,连接与逻辑副词,6,maybe,adv.,或许,,,
第10课,抽象概念与综合,连接与逻辑副词,7,anyway,adv.,无论如何,,,
第10课,抽象概念与综合,连接与逻辑副词,8,therefore,adv.,因此,,,
第10课,抽象概念与综合,连接与逻辑副词,9,besides,adv.,此外,,,
第10课,抽象概念与综合,连接与逻辑副词,10,instead,adv.,代替,,,
第10课,抽象概念与综合,连接与逻辑副词,11,otherwise,adv.,否则,,,
第10课,抽象概念与综合,连接与逻辑副词,12,whatever,pron.,无论什么,,,
第10课,抽象概念与综合,连接与逻辑副词,13,whenever,conj.,无论何时,,,
第10课,抽象概念与综合,连接与逻辑副词,14,wherever,conj.,无论哪里,,,
第10课,抽象概念与综合,连接与逻辑副词,15,whoever,pron.,无论谁,,,
第10课,抽象概念与综合,连接与逻辑副词,16,moreover,adv.,而且,,,
第10课,抽象概念与综合,连接与逻辑副词,17,indeed,adv.,的确,,,
第10课,抽象概念与综合,连接与逻辑副词,18,obviously,adv.,显然,,,
第10课,抽象概念与综合,连接与逻辑副词,19,fortunately,adv.,幸运地,,,
第10课,抽象概念与综合,连接与逻辑副词,20,unfortunately,adv.,不幸地,,,
